profile_identifier,layer_identifier,latitude,longitude,country_code,top,bottom,date,type,order,source,contact,license,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
71390,50641,3.59972222,-76.69972222,COL,0,15,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,36.0,4.9,50.0,26.0,24.0,
71390,50642,3.59972222,-76.69972222,COL,15,55,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,11.0,5.0,52.0,22.0,26.0,
71390,50643,3.59972222,-76.69972222,COL,55,80,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,4.0,5.2,56.0,30.0,14.0,
71391,50644,4.34972222,-75.19972222,COL,0,15,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,9.0,5.9,14.0,14.0,72.0,
71391,50645,4.34972222,-75.19972222,COL,15,81,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,4.0,6.3,46.0,10.0,44.0,
71391,50646,4.34972222,-75.19972222,COL,81,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,1.0,7.0,36.0,14.0,50.0,
71482,51034,3.59972222,-76.25,COL,0,30,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,22.0,7.5,20.0,42.0,38.0,
71482,51035,3.59972222,-76.25,COL,30,50,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,6.0,8.1,25.0,40.0,35.0,
71482,51036,3.59972222,-76.25,COL,50,75,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,1.0,8.4,10.0,65.0,25.0,
71482,51037,3.59972222,-76.25,COL,75,110,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,3.0,8.2,15.0,60.0,25.0,
71482,51038,3.59972222,-76.25,COL,110,140,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,1.0,8.2,8.0,12.0,80.0,
71491,51074,4.59972222,-75.69972222,COL,0,14,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,58.0,5.8,28.0,36.0,36.0,
71491,51075,4.59972222,-75.69972222,COL,14,44,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,31.0,5.8,15.0,31.0,54.0,
71491,51076,4.59972222,-75.69972222,COL,44,70,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,19.0,6.0,19.0,27.0,54.0,
71491,51077,4.59972222,-75.69972222,COL,70,98,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,13.0,5.9,53.0,46.0,1.0,
71491,51078,4.59972222,-75.69972222,COL,98,160,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,13.0,5.8,38.0,59.0,3.0,
71499,51110,1.37,-70.87,COL,0,3,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,0.0,,,,,,
71499,51111,1.37,-70.87,COL,3,19,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,14.0,,14.0,12.0,74.0,
71499,51112,1.37,-70.87,COL,19,61,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,7.0,,26.0,10.0,64.0,
71499,51113,1.37,-70.87,COL,61,103,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,4.0,,26.0,12.0,62.0,
71499,51114,1.37,-70.87,COL,103,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,2.0,,30.0,8.0,62.0,
71471,50992,11.19972222,-72.4,COL,0,15,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,5.1,6.0,12.0,82.0,
71471,50993,11.19972222,-72.4,COL,15,25,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,4.6,10.0,6.0,84.0,
71471,50994,11.19972222,-72.4,COL,25,70,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,2.0,6.7,18.0,4.0,78.0,
71471,50995,11.19972222,-72.4,COL,70,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,1.0,8.4,26.0,16.0,58.0,
71500,51115,0.97,-70.88972222,COL,0,5,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,0.0,,,,,,
71500,51116,0.97,-70.88972222,COL,5,7,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,24.0,,20.0,20.0,60.0,
71500,51117,0.97,-70.88972222,COL,7,34,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,12.0,,34.0,22.0,44.0,
71500,51118,0.97,-70.88972222,COL,34,75,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,9.0,,48.0,12.0,40.0,
71500,51119,0.97,-70.88972222,COL,75,125,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,3.0,,50.0,14.0,36.0,
71472,50996,11.32972222,-72.5,COL,0,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,1.0,28.0,,0.1,3.0,6.5,26.0,10.0,64.0,
71472,50997,11.32972222,-72.5,COL,20,39,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,28.0,,,3.0,7.2,34.0,10.0,56.0,
71472,50998,11.32972222,-72.5,COL,39,60,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,10.0,,,2.0,7.7,24.0,28.0,48.0,
71472,50999,11.32972222,-72.5,COL,60,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,1.0,,,1.0,7.8,20.0,38.0,42.0,
71473,51000,11.69972222,-72.25,COL,0,25,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,4.0,,,9.0,6.7,10.0,24.0,66.0,
71473,51001,11.69972222,-72.25,COL,25,80,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,4.0,,0.1,3.0,6.0,40.0,12.0,48.0,
71473,51002,11.69972222,-72.25,COL,80,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,10.0,,0.1,2.0,6.4,32.0,16.0,52.0,
71474,51003,4.71972222,-74.09972222,COL,0,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,18.0,4.7,57.0,38.0,5.0,
71474,51004,4.71972222,-74.09972222,COL,20,74,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,13.0,4.3,73.0,26.0,1.0,
71474,51005,4.71972222,-74.09972222,COL,74,104,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,13.0,4.6,69.0,29.0,2.0,
71474,51006,4.71972222,-74.09972222,COL,104,115,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,11.0,4.5,63.0,36.0,1.0,
71475,51007,4.71972222,-74.65,COL,0,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,18.0,4.7,58.0,38.0,4.0,
71475,51008,4.71972222,-74.65,COL,20,74,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,13.0,4.3,72.0,27.0,1.0,
71475,51009,4.71972222,-74.65,COL,74,104,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,13.0,4.6,69.0,29.0,2.0,
71475,51010,4.71972222,-74.65,COL,104,115,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,11.0,4.5,63.0,36.0,1.0,
71477,51016,8.39972222,-73.3,COL,0,7,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,76.0,5.8,34.0,22.0,44.0,
71477,51017,8.39972222,-73.3,COL,7,16,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,18.0,5.0,46.0,22.0,32.0,
71477,51018,8.39972222,-73.3,COL,16,73,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,6.0,5.0,42.0,26.0,32.0,
71477,51019,8.39972222,-73.3,COL,73,120,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,2.0,4.9,32.0,36.0,32.0,
71478,51020,8.39972222,-77.25,COL,0,6,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,48.0,5.7,26.0,24.0,50.0,
71478,51021,8.39972222,-77.25,COL,6,90,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,5.0,5.7,42.0,30.0,28.0,
71478,51022,8.39972222,-77.25,COL,90,138,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,2.0,6.1,20.0,32.0,48.0,
71478,51023,8.39972222,-77.25,COL,138,212,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,6.1,18.0,34.0,48.0,
71479,51024,7.69972222,-76.5,COL,0,30,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,16.0,5.5,44.0,24.0,32.0,
71479,51025,7.69972222,-76.5,COL,30,55,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,6.0,5.8,20.0,52.0,28.0,
71479,51026,7.69972222,-76.5,COL,55,75,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,4.0,6.2,34.0,40.0,26.0,
71479,51027,7.69972222,-76.5,COL,75,130,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,5.6,24.0,44.0,32.0,
71480,51028,7.65972222,-76.63972222,COL,0,5,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,66.0,5.3,24.0,24.0,52.0,
71480,51029,7.65972222,-76.63972222,COL,5,50,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,7.0,5.7,30.0,42.0,28.0,
71480,51030,7.65972222,-76.63972222,COL,50,90,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,5.0,6.6,34.0,42.0,24.0,
71480,51031,7.65972222,-76.63972222,COL,90,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,4.0,5.7,,,,
71483,51039,0.94,-69.94972222,COL,0,33,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,5.0,4.3,2.0,2.0,96.0,
71483,51040,0.94,-69.94972222,COL,33,57,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,4.2,2.0,2.0,96.0,
71483,51041,0.94,-69.94972222,COL,57,78,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,4.6,2.0,2.0,96.0,
71483,51042,0.94,-69.94972222,COL,78,180,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,4.8,10.0,12.0,78.0,
71484,51043,2.29972222,-76.59972222,COL,0,28,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,150.0,4.8,8.0,36.0,56.0,
71484,51044,2.29972222,-76.59972222,COL,28,52,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,64.0,5.1,4.0,40.0,56.0,
71484,51045,2.29972222,-76.59972222,COL,52,74,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,56.0,5.0,6.0,37.0,57.0,
71484,51046,2.29972222,-76.59972222,COL,74,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,23.0,5.3,6.0,32.0,62.0,
